Scotland's Census 2022 - National Records of Scotland
Table UV202 - National Identity
All people

,"All people","Scottish identity only","British identity only","Scottish and British identities only","Scottish and any other identities","English identity only","Any other combination of UK identities (UK only)","Other identity only (1)","Other identity and at least one UK identity"
"S00171749",143,89,32,5,-,10,1,2,-
"S00171750",98,74,11,4,-,4,-,1,-
"S00171751",71,35,16,10,1,2,1,6,-
"S00171752",77,41,15,11,4,-,6,3,-
"S00171753",152,106,15,18,3,5,3,3,-
"S00171754",130,87,20,11,1,3,1,7,-
"S00171755",120,101,4,6,1,-,-,7,-
"S00171756",137,81,28,12,1,7,5,3,-
"S00171757",111,66,24,14,-,2,-,-,2
"S00171758",139,105,17,9,-,4,1,-,1
"S00171759",73,36,21,8,2,2,-,3,-
"S00171760",118,60,27,15,4,5,2,4,1
"S00171761",92,74,5,3,-,1,1,8,-
"S00171762",142,81,27,14,4,7,3,7,-
"S00171763",90,74,3,4,-,2,-,3,1
"S00171764",80,62,2,6,-,3,1,5,-
"S00171765",89,51,17,8,1,3,4,5,-
"S00171766",104,82,6,1,4,-,1,6,-
"S00171767",139,86,19,16,2,4,6,3,-
"S00171768",62,47,12,2,2,2,1,1,-
"S00171769",109,67,8,14,-,5,1,12,-
"S00171770",93,62,15,5,1,6,2,4,-
"S00171771",128,68,39,10,5,2,-,3,-
"S00171772",80,43,15,4,1,12,1,5,-
"S00171773",80,53,18,2,-,3,-,2,-
"S00171774",79,36,9,3,1,10,1,19,1
"S00171775",106,73,17,6,1,-,5,6,-
"S00171776",60,41,10,4,2,-,1,4,-
"S00171777",117,73,25,9,-,3,4,3,-
"S00171778",93,48,20,11,4,2,5,3,-
"S00171779",153,83,29,21,4,6,4,4,2
"S00171780",68,43,5,2,7,-,-,7,-
"S00171781",112,47,17,10,4,7,3,24,-
"S00171782",159,80,41,26,7,6,1,1,-
"S00171783",99,76,10,8,-,2,1,6,-
"S00171784",155,103,17,8,4,4,4,12,2
"S00171785",118,81,18,7,3,1,-,7,-
"S00171786",104,66,20,6,-,3,1,6,-
"S00171787",75,52,9,2,1,2,1,9,-
"S00171788",87,43,21,7,2,4,4,11,4
"S00171789",104,75,11,8,1,2,-,7,-
"S00171790",124,79,15,5,5,6,3,11,-
"S00171791",97,54,16,11,-,12,4,3,-
"S00171792",122,82,14,7,-,6,-,13,-
"S00171793",79,50,5,4,1,7,-,12,-
"S00171794",99,68,15,12,-,4,1,3,-
"S00171795",76,40,10,-,7,1,2,17,-
"S00171796",108,86,13,5,-,4,-,-,-
"S00171797",96,60,26,7,2,-,-,-,-
"S00171798",97,71,3,3,7,3,1,3,-
"S00171799",116,59,26,18,3,3,4,4,-
"S00171800",145,105,15,5,1,4,-,16,-
"S00171801",148,93,18,11,2,5,2,21,2
"S00171802",84,57,19,3,2,2,-,2,-
"S00171803",67,38,5,4,5,3,1,8,-
"S00171804",104,72,18,9,2,2,-,1,-
"S00171805",73,56,5,2,-,6,-,-,-
"S00171806",201,119,21,35,5,8,4,12,1
"S00171807",102,63,19,16,4,-,1,1,-
"S00171808",151,118,7,14,4,-,-,5,-
"S00171809",114,83,14,6,3,3,1,9,-
"S00171810",150,118,13,10,-,4,1,2,-
"S00171811",120,55,24,23,2,11,-,1,-
"S00171812",171,125,24,14,1,4,-,6,-
"S00171813",174,117,22,20,5,2,4,5,-
"S00171814",65,56,5,7,-,-,-,-,-
"S00171815",166,111,28,15,4,4,-,-,-
"S00171816",60,50,4,-,3,2,1,2,-
"S00171817",131,86,20,10,6,5,2,3,-
"S00171818",71,45,11,12,-,3,1,3,-
"S00171819",132,87,20,8,3,-,2,10,-
"S00171820",154,109,11,12,5,2,4,7,-
"S00171821",218,98,71,32,1,7,3,3,1
"S00171822",101,58,31,9,-,-,3,-,-
"S00171823",109,60,28,12,-,6,1,2,-
"S00171824",122,75,25,10,-,6,2,2,-
"S00171825",86,55,7,16,-,3,5,-,-
"S00171826",150,71,49,12,7,4,3,4,-
"S00171827",147,72,37,14,3,6,7,8,-
"S00171828",141,97,19,10,3,1,-,6,-
"S00171829",432,134,63,17,45,8,8,157,3
"S00171830",127,79,22,13,1,8,4,3,-
"S00171831",134,85,13,18,2,4,4,8,-
"S00171832",155,79,48,12,4,9,1,2,-
"S00171833",80,49,13,6,2,4,1,2,1
"S00171834",75,54,8,8,1,1,-,2,-
"S00171835",121,55,30,9,3,7,5,4,-
"S00171836",214,162,35,8,3,5,1,3,-
"S00171837",149,89,44,11,2,3,2,4,-
"S00171838",111,59,28,11,1,10,2,2,-
"S00171839",153,63,20,22,9,3,2,31,2
"S00171840",193,88,58,16,2,8,8,11,2
"S00171841",135,95,21,16,-,1,1,2,-
"S00171842",100,65,20,10,-,1,-,-,-
"S00171843",158,76,55,11,-,8,4,3,-
"S00171844",149,126,8,4,1,-,2,8,-
"S00171845",151,89,25,12,5,9,5,1,-
"S00171846",168,139,12,10,1,3,-,3,-
"S00171847",123,72,21,18,-,6,1,4,-
"S00171848",171,140,14,10,1,4,-,-,-
"S00171849",107,79,13,11,-,-,1,-,-
"S00171850",65,56,7,3,-,1,-,-,-
"S00171851",66,50,6,6,1,1,1,-,-
"S00171852",90,65,15,4,2,3,-,5,-
"S00171853",78,53,9,5,6,2,-,5,-
"S00171854",162,113,13,14,3,-,3,8,-
"S00171855",86,57,19,5,-,2,-,4,-
"S00171856",145,87,38,6,1,5,4,1,-
"S00171857",117,67,25,15,2,2,2,4,-
"S00171858",131,82,24,17,-,5,1,6,-
"S00171859",145,96,22,10,1,7,5,7,-
"S00171860",147,76,54,11,-,4,2,3,-
"S00171861",192,146,28,16,5,1,1,-,-
"S00171862",160,117,22,13,2,2,2,3,-
"S00171863",181,113,31,12,5,4,4,11,7
"S00171864",153,89,38,9,5,4,6,1,-
"S00171865",101,54,26,11,4,3,2,1,1
"S00171866",134,79,26,21,4,2,3,3,-
"S00171867",151,87,29,11,11,4,5,3,-
"S00171868",190,85,44,28,9,6,11,2,2
"S00171869",137,84,26,14,2,2,3,4,-
"S00171870",101,75,16,3,1,3,-,-,-
"S00171871",216,119,46,29,2,12,2,9,-
"S00171872",71,45,22,3,-,2,-,-,-
"S00171873",108,44,24,24,3,7,6,3,-
"S00171874",143,98,21,13,1,3,3,7,-
"S00171875",172,80,43,24,5,9,4,3,-
"S00171876",149,101,23,14,2,3,2,3,2
"S00171877",117,78,15,13,-,4,2,3,-
"S00171878",74,58,6,2,6,-,-,2,-
"S00171879",75,31,31,12,-,-,-,1,-
"S00171880",108,64,13,16,-,1,1,7,-
"S00171881",91,56,23,7,-,1,-,4,-
"S00171882",150,99,19,11,2,7,-,9,-
"S00171883",129,62,28,23,5,6,4,2,-
"S00171884",170,75,51,26,1,8,3,6,-
"S00171885",77,54,8,5,-,1,-,7,-
"S00171886",76,40,15,9,1,4,3,4,-
"S00171887",135,84,25,15,3,3,4,1,-
"S00171888",65,49,3,7,1,-,2,4,-
"S00171889",86,66,18,4,-,2,-,-,-
"S00171890",111,73,24,9,3,1,2,-,-
"S00171891",72,43,20,5,4,-,-,2,-
"S00171892",181,92,36,24,3,10,6,6,-
"S00171893",159,84,46,13,2,5,-,6,1
"S00171894",104,58,22,15,-,1,-,5,-
"S00171895",72,41,16,12,1,-,2,2,4
"S00171896",230,138,45,8,12,8,7,8,1
"S00171897",132,75,35,7,-,5,4,6,1
"S00171898",194,100,45,27,4,8,4,3,-
"S00171899",157,90,30,20,1,5,2,8,-
"S00171900",77,51,7,3,2,1,4,4,-
"S00171901",156,93,26,15,1,3,5,12,1
"S00171902",173,125,19,6,4,2,2,13,-
"S00171903",101,56,23,7,7,5,2,-,-
"S00171904",139,75,29,10,1,4,7,14,-
"S00171905",91,60,8,10,2,1,5,4,2
"S00171906",187,137,20,11,2,5,4,10,-
"S00171907",120,72,15,11,3,4,4,4,-
"S00171908",116,74,16,10,3,3,3,7,-
"S00171909",93,62,16,10,1,2,2,-,-
"S00171910",165,100,25,22,1,6,4,7,-
"S00171911",130,65,43,9,2,1,4,5,-
"S00171912",119,65,26,14,2,8,2,4,-
"S00171913",64,46,8,4,2,-,-,-,-
"S00171914",123,63,26,26,2,5,3,3,1
"S00171915",113,78,13,16,-,3,3,4,-
"S00171916",78,49,13,6,1,1,3,6,-
"S00171917",77,28,22,6,3,4,3,11,-
"S00171918",190,101,40,23,10,3,6,5,-
"S00171919",139,80,16,10,3,9,-,21,-
"S00171920",108,52,27,21,2,4,3,1,-
"S00171921",98,49,23,19,3,2,-,3,-
"S00171922",113,60,22,13,3,2,5,9,-
"S00171923",158,81,35,15,7,7,2,5,-
"S00171924",74,60,7,2,1,-,4,3,-
"S00171925",154,88,18,10,10,11,3,14,-
"S00171926",120,94,10,13,1,4,-,2,-
"S00171927",67,40,13,6,-,2,-,2,-
"S00171928",127,81,22,4,-,10,-,7,-
"S00171929",114,71,20,1,5,6,1,8,-
"S00171930",175,111,36,20,-,4,5,4,-
"S00171931",137,111,7,10,-,4,1,2,-
"S00171932",132,82,9,9,3,5,6,22,-
"S00171933",91,43,21,21,1,2,-,4,-
"S00171934",74,51,13,4,1,3,1,1,1
"S00171935",147,100,16,11,5,4,4,5,-
"S00171936",100,41,35,15,2,1,-,5,1
"S00171937",117,74,20,12,-,5,1,5,1
"S00171938",135,75,27,16,6,4,2,5,-
"S00171939",177,97,38,20,8,5,6,-,-
"S00171940",130,51,33,38,2,2,4,-,-
"S00171941",97,41,30,16,1,2,2,7,-
"S00171942",143,46,54,29,1,9,4,-,-
"S00171943",96,60,19,13,3,-,1,4,-
"S00171944",185,73,58,7,4,7,7,31,1
"S00171945",144,51,55,21,5,9,2,3,-
"S00171946",95,65,15,4,7,4,-,-,-
"S00171947",85,65,9,5,2,3,1,-,-
"S00171948",61,44,-,11,1,-,2,-,-
"S00171949",123,72,22,10,4,5,4,2,-
"S00171950",120,57,35,14,2,6,1,-,1
"S00171951",115,68,20,20,1,3,5,4,-
"S00171952",156,89,32,19,3,7,3,5,-
"S00171953",125,64,29,15,4,9,2,7,-
"S00171954",141,94,29,4,3,5,1,1,-
"S00171955",89,31,27,23,4,5,2,1,-
"S00171956",112,69,23,10,-,3,1,3,-
"S00171957",98,51,22,18,2,-,-,-,-
"S00171958",140,63,43,12,1,5,9,1,-
"S00171959",73,51,13,5,1,5,-,1,-
"S00171960",144,86,40,5,3,6,4,2,-
"S00171961",88,47,18,9,-,4,5,1,2
"S00171962",78,63,5,1,3,3,1,-,-
"S00171963",213,159,22,8,5,3,3,11,-
"S00171964",83,54,9,8,-,7,-,2,-
"S00171965",161,89,39,21,2,-,4,3,-
"S00171966",126,89,17,5,3,1,-,7,-
"S00171967",105,71,25,6,4,1,-,1,-
"S00171968",189,119,22,22,1,12,2,9,-
"S00171969",123,76,35,6,2,-,3,1,-
"S00171970",127,78,22,11,-,4,-,5,-
"S00171971",99,54,26,12,5,4,1,1,1
"S00171972",151,59,56,21,4,6,4,3,1
"S00171973",192,87,48,22,-,21,4,13,-
"S00171974",201,102,59,16,4,6,9,4,-
"S00171975",155,65,57,27,2,-,3,2,1
"S00171976",68,43,12,12,-,1,2,1,-
"S00171977",121,65,33,15,3,4,2,1,-
"S00171978",173,100,38,17,8,5,4,-,1
"S00171979",139,69,50,6,6,4,3,3,-
"S00171980",109,56,33,6,4,7,1,3,-
"S00171981",149,83,29,11,10,3,5,7,-
"S00171982",108,53,34,9,1,4,-,7,-
"S00171983",91,52,14,17,1,-,-,6,-
"S00171984",83,43,21,10,1,3,1,4,2
"S00171985",111,74,17,9,2,2,2,4,-
"S00171986",71,42,17,10,-,2,-,3,-
"S00171987",181,102,37,22,9,9,2,4,-
"S00171988",103,74,8,9,2,3,-,6,-
"S00171989",92,64,10,8,-,1,2,3,-
"S00171990",143,88,31,9,7,2,2,4,-
"S00171991",128,44,54,13,2,1,7,3,-
"S00171992",94,66,15,4,-,5,-,2,-
"S00171993",133,109,12,5,1,1,-,2,-
"S00171994",116,69,26,16,2,-,3,2,-
"S00171995",113,59,24,12,4,3,4,7,2
"S00171996",104,78,8,8,-,2,1,7,-
"S00171997",127,73,26,18,2,4,4,-,-
"S00171998",129,108,7,5,1,4,-,4,-
"S00171999",190,121,35,21,2,5,4,2,-
"S00172000",90,54,25,9,-,3,2,-,-
"S00172001",85,44,28,7,-,2,-,4,-
"S00172002",154,102,28,16,-,1,1,-,-
"S00172003",90,64,18,5,2,2,1,-,-
"S00172004",198,145,29,8,3,-,-,6,9
"S00172005",203,103,39,47,2,6,1,5,-
"S00172006",89,46,23,11,7,2,2,3,-
"S00172007",204,118,38,25,-,6,8,4,-
"S00172008",135,72,27,28,5,4,1,-,-
"S00172009",71,36,21,10,-,1,-,3,-
"S00172010",62,40,16,5,-,-,-,1,-
"S00172011",152,81,43,16,1,2,6,1,-
"S00172012",139,89,14,24,5,3,1,2,1
"S00172013",124,42,28,31,1,11,2,6,-
"S00172014",103,59,23,9,-,2,4,2,1
"S00172015",116,69,27,15,-,6,-,-,-
"S00172016",130,68,17,27,3,7,2,6,-
"S00172017",182,77,51,28,9,11,4,4,1
"S00172018",127,88,18,14,1,2,2,-,-
"S00172019",162,80,46,22,1,-,4,8,1
"S00172020",112,77,16,7,4,4,1,4,-
"S00172021",79,36,24,12,1,1,2,2,-
"S00172022",100,58,22,11,2,3,1,-,-
"S00172023",100,55,23,13,2,4,1,2,-
"S00172024",90,65,13,7,1,3,2,-,-
"S00172025",191,97,50,29,2,18,5,2,-
"S00172026",125,82,31,5,-,3,1,-,-
"S00172027",121,91,13,9,2,2,2,1,-
"S00172028",65,28,24,3,3,6,2,-,-
"S00172029",135,82,33,10,-,4,2,5,-
"S00172030",161,109,16,16,3,6,1,4,1
"S00172031",88,35,19,20,1,5,2,2,-
"S00172032",178,89,53,19,8,4,5,-,-
"S00172033",127,96,13,9,4,3,1,1,-
"S00172034",114,88,15,9,-,-,2,-,-
"S00172035",105,53,31,12,1,4,3,2,-
"S00172036",106,92,3,3,3,1,-,-,-
"S00172037",144,97,27,6,-,5,2,6,-
"S00172038",116,93,17,6,-,1,3,-,-
"S00172039",74,37,13,14,3,1,5,-,1
"S00172040",129,79,24,7,3,3,-,8,2
"S00172041",184,108,36,23,-,6,7,-,-
"S00172042",74,55,10,6,1,-,-,1,-
"S00172043",127,80,21,13,2,4,2,5,-
"S00172044",101,68,15,14,-,2,-,2,-
"S00172045",67,47,9,6,2,-,-,2,1
"S00172046",89,45,31,12,2,4,-,-,-
"S00172047",104,75,3,11,3,3,2,6,-
"S00172048",97,56,22,10,4,5,-,5,-
"S00172049",101,74,11,10,-,5,-,4,-
"S00172050",113,65,24,11,2,4,2,-,-
"S00172051",87,59,14,6,3,-,-,7,-
"S00172052",66,41,13,2,3,2,4,1,2
"S00172053",145,59,53,8,3,4,10,5,-
"S00172054",179,132,21,10,4,4,3,5,-
"S00172055",131,63,39,25,-,3,-,1,-
"S00172056",113,76,13,9,3,3,2,6,-
"S00172057",116,71,23,14,4,2,-,-,-
"S00172058",65,30,20,6,2,4,4,1,-
"S00172059",84,38,24,11,-,4,4,4,1
"S00172060",129,69,42,16,-,3,3,1,-
"S00172061",79,30,33,14,-,1,2,-,-
"S00172062",124,59,40,16,2,3,-,9,-
"S00172063",142,89,20,19,-,9,2,5,2
"S00172064",166,117,17,15,-,2,8,4,-
"S00172065",61,36,8,12,-,-,-,5,-
"S00172066",121,70,29,10,3,5,4,-,-
"S00172067",221,109,48,25,8,8,5,13,-
"S00172068",155,93,27,7,4,9,4,11,-
"S00172069",105,55,22,18,2,3,2,-,1
"S00172070",88,44,21,11,2,2,2,4,-
"S00172071",151,91,39,11,5,-,4,2,-
"S00172072",118,68,25,7,3,7,7,3,-
"S00172073",107,63,25,4,-,4,4,6,-
"S00172074",116,55,38,12,2,3,4,5,-
"S00172075",129,81,24,15,-,4,3,1,-
"S00172076",126,82,19,6,1,10,1,6,-
"S00172077",134,79,37,12,-,1,4,3,-
"S00172078",147,91,26,12,4,9,3,4,-
"S00172079",162,96,40,16,3,5,-,8,-
"S00172080",161,81,43,24,5,3,3,3,-
"S00172081",176,111,31,25,3,-,4,2,-
"S00172082",113,70,22,16,2,-,2,-,-
"S00172083",83,48,17,9,-,2,2,-,-
"S00172084",342,255,53,10,1,9,2,11,1
"S00172085",150,91,27,19,4,2,3,5,-
"S00172086",123,77,22,16,-,5,-,3,-
"S00172087",135,91,30,11,-,1,2,-,-
"S00172088",150,72,37,25,4,5,2,8,-
"S00172089",102,51,19,17,2,2,2,4,1
"S00172090",155,116,18,9,3,-,-,6,-
"S00172091",121,76,29,3,1,2,2,5,-
"S00172092",117,90,16,6,-,1,-,2,1
"S00172093",89,60,20,4,-,-,-,1,-
"S00172094",173,112,32,25,1,1,-,2,-
"S00172095",111,88,9,6,-,-,-,7,-
"S00172096",137,87,25,23,1,-,-,3,1
"S00172097",122,75,25,12,3,-,-,3,-
"S00172098",78,65,5,8,-,1,1,-,-
"S00172099",84,46,18,14,3,-,1,1,-
"S00172100",124,76,17,28,-,1,2,-,-
"S00172101",127,81,30,13,4,-,-,2,-
"S00172102",146,90,26,27,-,1,1,-,-
"S00172103",91,62,16,11,-,2,-,2,-
"S00172104",143,112,23,8,-,-,-,1,-
"S00172105",72,50,6,12,-,-,-,-,-
"S00172106",178,110,41,13,3,3,3,2,-
"S00172107",152,98,31,16,2,2,2,-,-
"S00172108",69,42,12,13,-,1,1,-,-
"S00172109",82,51,16,9,-,-,6,-,-
"S00172110",199,131,31,38,1,2,-,1,-
"S00172111",100,79,12,5,-,-,3,-,-
"S00172112",140,76,33,28,1,2,-,-,-
"S00172113",80,74,3,-,1,-,-,-,-
"S00172114",116,80,15,7,4,-,2,7,-
"S00172115",132,105,5,12,3,-,-,6,-
"S00172116",128,82,20,19,-,1,1,1,-
"S00172117",66,49,5,10,-,1,-,-,-
"S00172118",112,47,29,25,-,-,3,3,-
"S00172119",197,142,21,27,6,4,4,-,-
"S00172120",140,105,17,6,-,1,2,9,-
"S00172121",136,83,25,15,2,-,1,1,-
"S00172122",105,80,12,8,-,1,-,5,-
"S00172123",90,57,16,10,-,3,2,2,-
"S00172124",117,103,7,4,2,1,-,2,-
"S00172125",115,73,20,13,3,-,4,4,-
"S00172126",106,84,13,4,-,1,-,4,-
"S00172127",95,70,9,13,-,-,-,-,2
"S00172128",148,105,21,13,1,1,1,6,-
"S00172129",94,76,10,7,-,-,-,-,-
"S00172130",159,98,38,12,-,5,5,1,-
"S00172131",138,85,30,15,4,2,1,5,-
"S00172132",134,91,20,12,7,-,-,1,-
"S00172133",131,89,20,18,1,-,1,4,1
"S00172134",97,71,12,10,-,2,-,-,-
"S00172135",147,110,12,21,2,-,3,2,-
"S00172136",200,138,25,23,4,2,2,4,-
"S00172137",100,69,13,8,-,-,1,2,-
"S00172138",247,168,41,26,3,3,-,5,-
"S00172139",214,128,48,23,8,1,8,2,-
"S00172140",119,100,10,8,-,-,-,-,-
"S00172141",109,78,14,11,2,-,-,2,-
"S00172142",114,86,18,8,2,1,-,2,-
"S00172143",198,122,36,17,2,4,3,13,-
"S00172144",165,106,29,25,2,-,-,1,-
"S00172145",225,141,39,31,3,6,4,5,-
"S00172146",202,161,16,7,3,2,1,9,5
"S00172147",115,89,14,9,-,-,-,4,-
"S00172148",167,122,23,16,4,2,-,5,-
"S00172149",164,131,17,9,1,1,-,2,-
"S00172150",132,72,34,21,1,-,2,2,-
"S00172151",138,77,20,36,2,2,-,1,-
"S00172152",138,110,12,13,2,-,1,-,1
"S00172153",139,105,19,9,-,2,2,3,-
"S00172154",85,67,12,5,-,-,-,1,-
"S00172155",194,133,33,18,4,6,3,2,-
"S00172156",93,72,12,3,4,-,-,1,-
"S00172157",182,119,30,8,3,5,5,14,-
"S00172158",196,145,27,9,3,2,5,3,-
"S00172159",161,112,29,10,3,-,1,3,-
"S00172160",180,111,31,29,2,2,3,2,-
"S00172161",170,116,24,23,3,-,-,2,-
"S00172162",106,79,12,8,1,3,-,3,-
"S00172163",174,124,26,13,1,4,2,4,-
"S00172164",141,105,20,19,1,-,-,1,-
"S00172165",149,111,16,22,-,-,-,-,-
"S00172166",105,86,4,19,-,-,-,-,-
"S00172167",106,63,23,7,5,2,2,4,2
"S00172168",111,92,10,4,-,-,-,-,-
"S00172169",91,59,5,17,2,2,1,3,-
"S00172170",217,163,23,14,-,3,-,12,-
"S00172171",112,92,5,8,-,2,-,4,-
"S00172172",139,103,22,6,-,4,2,1,-
"S00172173",113,79,18,13,1,1,-,1,-
"S00172174",168,123,30,9,2,1,2,3,-
"S00172175",195,126,45,21,1,2,-,3,2
"S00172176",155,125,25,7,-,-,-,2,-
"S00172177",107,72,18,7,5,5,-,-,-
"S00172178",70,57,4,1,1,-,-,7,-
"S00172179",103,63,10,16,3,3,3,4,-
"S00172180",190,106,44,30,-,-,4,6,-
"S00172181",110,80,10,10,-,1,-,8,-
"S00172182",146,113,22,11,-,1,-,-,-
"S00172183",175,134,11,15,1,5,2,9,-
"S00172184",160,108,22,10,8,4,4,4,-
"S00172185",181,123,21,25,3,4,2,4,-
"S00172186",202,160,23,8,3,3,2,4,-
"S00172187",117,80,4,16,5,1,2,5,-
"S00172188",110,79,12,7,2,1,1,5,1
"S00172189",65,47,6,10,2,2,-,-,-
"S00172190",210,128,32,30,8,4,-,6,-
"S00172191",125,86,18,14,2,3,-,2,-
"S00172192",87,62,14,10,-,-,-,-,-
"S00172193",250,167,25,33,4,3,4,8,4
"S00172194",82,50,8,20,-,1,-,4,-
"S00172195",124,86,16,12,-,8,-,1,-
"S00172196",217,161,33,11,3,2,3,-,-
"S00172197",130,77,24,26,1,-,2,-,-
"S00172198",132,93,18,18,1,2,1,3,-
"S00172199",140,96,15,22,-,2,1,2,-
"S00172200",153,96,42,10,3,-,-,2,-
"S00172201",103,72,22,8,-,2,-,1,-
"S00172202",215,142,30,33,4,-,1,2,-
"S00172203",122,80,16,13,3,5,3,3,-
"S00172204",109,70,21,15,1,1,-,1,-
"S00172205",74,55,10,6,-,-,-,1,-
"S00172206",86,62,13,7,1,2,-,2,-
"S00172207",74,58,7,10,-,-,-,3,-
"S00172208",99,82,12,2,-,-,-,4,-
"S00172209",124,88,22,11,-,2,-,1,-
"S00172210",198,145,26,25,3,1,-,4,-
"S00172211",142,95,30,9,6,1,-,1,-
"S00172212",118,92,14,8,-,-,-,3,-
"S00172213",140,109,15,13,-,-,-,-,-
"S00172214",87,53,16,14,2,-,-,-,-
"S00172215",114,81,21,11,-,-,1,-,-
"S00172216",181,128,30,18,1,1,3,1,-
"S00172217",90,76,7,7,-,-,-,4,-
"S00172218",121,93,14,5,-,2,2,-,-
"S00172219",104,60,23,17,4,-,-,1,-
"S00172220",123,95,12,11,4,-,-,2,-
"S00172221",149,119,6,13,2,2,1,1,-
"S00172222",148,108,13,17,1,4,1,3,-
"S00172223",113,87,8,11,1,2,-,3,-
"S00172224",91,66,10,11,-,-,-,3,-
"S00172225",113,72,23,13,-,2,-,1,-
"S00172226",130,80,29,21,-,-,2,-,-
"S00172227",132,97,18,14,-,-,-,-,-
"S00172228",95,59,14,23,-,2,-,3,-
"S00172229",265,186,32,30,4,4,3,4,1
"S00172230",132,112,3,9,1,1,-,6,-
"S00172231",148,94,22,21,1,-,2,6,-
"S00172232",93,75,15,2,1,-,-,-,-
"S00172233",166,106,22,21,-,4,5,10,-
"S00172234",98,69,10,11,-,1,-,2,-
"S00172235",150,110,29,8,1,2,-,-,-
"S00172236",125,72,23,18,5,2,2,3,-
"S00172237",98,82,10,6,-,-,-,-,-
"S00172238",158,118,26,12,-,2,1,3,-
"S00172239",97,69,16,10,1,-,1,-,-
"S00172240",188,126,30,21,3,1,3,7,-
"S00172241",101,88,5,4,-,-,-,3,-
"S00172242",114,82,13,17,1,-,-,1,-
"S00172243",123,79,24,12,3,2,-,1,-
"S00172244",112,80,20,9,1,1,1,4,-
"S00172245",81,59,12,4,-,3,1,2,-
"S00172246",83,57,15,8,2,-,-,1,-
"S00172247",92,57,18,9,1,3,2,2,1
"S00172248",104,94,1,8,-,-,-,1,-
"S00172249",89,57,14,17,-,-,1,-,-
"S00172250",153,110,26,12,-,1,-,2,-
"S00172251",190,125,38,14,4,1,2,7,-
"S00172252",198,146,20,23,8,3,-,1,-
"S00172253",148,117,15,10,1,-,-,-,-
"S00172254",87,59,12,14,1,-,-,6,-
"S00172255",63,41,6,12,2,1,-,1,-
"S00172256",132,100,17,12,-,4,-,-,-
"S00172257",143,101,17,24,-,-,-,1,-
"S00172258",108,59,27,22,-,1,-,1,-
"S00172259",105,82,11,10,-,1,2,2,-
"S00172260",127,101,12,11,-,1,2,1,-
"S00172261",137,101,12,17,1,1,1,1,-
"S00172262",95,67,9,13,-,-,2,-,-
"S00172263",142,118,20,6,1,-,1,-,-
"S00172264",166,126,12,27,1,-,-,-,-
"S00172265",106,71,18,14,-,-,-,1,-
"S00172266",130,87,30,10,-,-,1,2,-
"S00172267",103,81,7,11,-,1,-,3,-
"S00172268",102,49,33,17,-,-,-,1,-
"S00172269",111,77,20,14,-,-,-,-,-
"S00172270",127,98,21,8,-,-,-,-,-
"S00172271",96,58,26,6,3,-,-,2,-
"S00172272",59,31,25,6,1,-,-,-,-
"S00172273",141,106,18,13,-,1,1,-,-
"S00172274",95,68,17,8,-,1,-,-,-
"S00172275",105,68,16,17,-,1,2,-,-
"S00172276",92,67,12,14,1,-,1,-,-
"S00172277",184,115,40,20,-,3,-,2,-
"S00172278",94,74,12,6,-,-,-,1,-
"S00172279",98,66,18,7,7,2,-,-,-
"S00172280",81,53,14,11,1,2,-,-,-
"S00172281",174,121,20,32,-,3,2,2,-
"S00172282",85,52,22,7,-,-,-,2,-
"S00172283",141,109,17,15,-,2,-,-,-
"S00172284",116,75,17,21,-,-,-,4,-
"S00172285",156,106,23,16,7,-,1,1,-
"S00172286",64,53,7,7,2,-,-,-,-
"S00172287",176,105,37,30,-,-,-,3,-
"S00172288",64,47,10,2,-,1,-,2,-
"S00172289",104,74,6,5,7,2,-,11,-
"S00172290",89,50,18,19,2,-,-,3,-
"S00172291",73,48,16,9,-,-,-,-,-
"S00172292",86,69,6,8,-,-,-,-,-
"S00172293",119,97,14,6,-,-,-,-,-
"S00172294",80,61,8,11,-,-,-,3,-
"S00172295",140,101,23,13,1,-,1,1,-
"S00172296",118,83,23,11,-,1,-,-,-
"S00172297",102,65,15,19,4,1,-,-,-
"S00172298",100,66,15,14,-,-,-,3,-
"S00172299",106,83,11,9,1,-,-,2,-
"S00172300",106,51,27,18,2,5,2,6,-
"S00172301",106,59,24,15,6,3,2,5,-
"S00172302",81,45,12,10,1,2,2,3,-
"S00172303",103,68,17,11,2,-,-,4,-
"S00172304",75,49,11,7,3,2,1,4,2
"S00172305",65,37,16,4,6,1,2,2,-
"S00172306",105,69,14,9,2,3,3,6,-
"S00172307",191,107,28,39,5,5,2,10,-
"S00172308",186,115,20,14,7,4,3,23,1
"S00172309",161,97,27,12,4,1,3,15,-
"S00172310",117,76,20,5,3,4,3,8,-
"S00172311",138,107,14,11,-,2,-,3,-
"S00172312",150,94,18,13,2,3,2,17,1
"S00172313",121,80,16,13,2,1,3,6,-
"S00172314",63,38,10,6,3,-,-,5,-
"S00172315",95,75,9,6,4,-,-,1,-
"S00172316",96,80,6,8,1,2,1,-,-
"S00172317",63,49,7,5,-,3,-,-,-
"S00172318",137,91,26,6,5,1,1,6,-
"S00172319",77,49,14,6,-,1,2,6,-
"S00172320",131,96,8,12,3,2,7,5,1
"S00172321",111,89,5,4,1,1,-,13,-
"S00172322",72,59,2,1,6,-,-,7,-
"S00172323",106,53,11,9,1,2,-,24,3
"S00172324",100,69,19,7,-,3,-,2,-
"S00172325",83,65,7,-,1,5,-,1,-
"S00172326",78,51,10,8,4,1,-,6,-
